N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
43,한국조선해양,"86,100","1,500",-1.71%,"5,000","60,936","70,773",16.51,"318,866",57.90,1.40,
44,기업은행,"8,200",90,-1.09%,"5,000","60,570","738,664",11.77,"1,220,093",3.93,7.36,
45,CJ제일제당,"396,500","5,000",-1.25%,"5,000","59,690","15,054",22.45,"69,551",9.98,3.16,
46,코웨이,"79,400","1,600",-1.98%,500,"58,597","73,800",60.38,"193,016",16.69,30.74,
47,포스코케미칼,"89,900",200,+0.22%,500,"54,828","60,988",7.50,"539,078",106.01,11.57,
48,오리온,"135,000","2,000",-1.46%,500,"53,374","39,536",44.34,"82,960",20.14,14.24,
49,LG디스플레이,"14,850",0,0.00%,"5,000","53,136","357,816",21.41,"3,682,602",-1.83,-22.35,
50,KODEX 200,"31,175",440,-1.39%,0,"52,608","168,750",12.79,"4,788,126",N/A,N/A,
51,LG유플러스,"11,800",200,-1.67%,"5,000","51,520","436,611",31.91,"1,590,998",10.31,6.30,
52,현대글로비스,"135,000","6,000",-4.26%,500,"50,625","37,500",34.59,"234,813",9.20,11.25,
53,SK케미칼,"404,500","10,000",-2.41%,"5,000","47,494","11,741",11.75,"379,844",20.81,1.51,
54,한진칼,"75,300","1,400",-1.83%,"2,500","44,555","59,170",17.24,"116,384",-11.59,-17.56,
55,강원랜드,"20,800",300,-1.42%,500,"44,500","213,940",25.03,"654,222",-218.95,9.16,
56,유한양행,"65,200","1,700",-2.54%,"1,000","43,591","66,857",21.34,"644,390",26.30,2.43,
57,아모레G,"51,200",900,-1.73%,500,"42,219","82,458",20.71,"108,950",69.85,4.12,
58,두산중공업,"16,300",0,0.00%,"5,000","41,262","253,141",7.53,"15,099,562",-3.21,-14.73,
59,맥쿼리인프라,"11,100",50,+0.45%,0,"38,744","349,044",18.88,"989,903",N/A,N/A,
60,한미사이언스,"58,400","1,600",-2.67%,500,"38,551","66,011",2.00,"280,939",136.13,4.73,
61,한국금융지주,"69,000",300,+0.44%,"5,000","38,451","55,726",34.01,"848,046",6.53,18.14,
62,한국타이어앤테크놀로지,"30,600",300,+0.99%,500,"37,906","123,875",37.99,"447,530",12.79,6.03,
63,더존비즈온,"126,500","20,000",+18.78%,500,"37,536","29,673",46.34,"2,485,142",78.96,18.78,
64,LG이노텍,"158,000","5,000",-3.07%,"5,000","37,394","23,667",33.97,"267,450",16.36,4.73,
65,CJ대한통운,"158,500",500,-0.31%,"5,000","36,158","22,812",20.80,"74,831",40.01,1.41,
66,현대건설,"32,000",350,-1.08%,"5,000","35,634","111,356",21.90,"562,317",10.59,6.30,
67,한미약품,"300,000","6,000",-1.96%,"2,500","35,529","11,843",14.70,"71,050",98.55,7.30,
68,이마트,"127,000","1,500",+1.20%,"5,000","35,402","27,876",30.44,"391,849",6.37,2.76,
69,현대중공업지주,"224,000","5,500",-2.40%,"5,000","35,389","15,799",18.55,"55,286",-15.79,2.20,
70,SKC,"93,300","1,900",+2.08%,"5,000","35,020","37,535",8.76,"511,463",33.80,3.86,
71,현대제철,"25,050",400,-1.57%,"5,000","33,428","133,446",19.06,"771,731",-12.43,0.10,
72,삼성카드,"28,600",100,-0.35%,"5,000","33,136","115,859",9.77,"143,344",8.84,5.04,
73,삼성중공업,"5,190",80,-1.52%,"5,000","32,697","630,000",15.38,"3,784,679",-1.79,-21.88,
74,에스원,"86,000","1,900",-2.16%,500,"32,679","37,999",55.82,"73,040",22.09,11.32,
75,대한항공,"18,600",100,+0.54%,"5,000","32,403","174,210",11.77,"2,064,977",-2.77,-22.09,
76,대림산업,"90,900","1,100",-1.20%,"5,000","31,633","34,800",40.45,"415,622",5.11,11.74,
77,롯데지주,"30,050",350,-1.15%,200,"31,525","104,909",11.43,"181,859",-4.53,-5.21,
78,현대차2우B,"85,700","2,600",-2.94%,"5,000","31,268","36,485",62.73,"133,695",12.35,N/A,
79,GS,"33,450",50,-0.15%,"5,000","31,080","92,915",20.91,"348,529",-27.67,6.26,
80,DB손해보험,"43,550",850,-1.91%,500,"30,833","70,800",39.82,"216,455",5.70,6.92,
81,금호석유,"98,100",400,-0.41%,"5,000","29,889","30,468",33.32,"191,244",11.22,11.84,
82,쌍용양회,"5,930",60,-1.00%,"1,000","29,879","503,860",2.90,"1,906,749",22.38,7.02,
83,호텔신라,"74,600",700,-0.93%,"5,000","29,279","39,248",21.63,"589,277",-39.45,20.16,
84,녹십자,"248,500","7,500",-2.93%,"5,000","29,041","11,687",18.66,"174,445",486.30,-0.35,
85,LG화학우,"374,000","12,500",-3.23%,"5,000","28,756","7,689",54.71,"107,929",64.47,N/A,
86,삼성증권,"31,400",850,-2.64%,"5,000","28,040","89,300",24.89,"660,310",8.61,8.15,
87,두산밥캣,"26,900",700,-2.54%,500,"26,967","100,249",22.43,"736,455",14.73,7.05,
88,TIGER 200,"31,175",440,-1.39%,0,"26,249","84,200",6.86,"1,047,373",N/A,N/A,
89,하이트진로,"37,300",800,-2.10%,"5,000","26,160","70,134",10.04,"454,442",38.53,-3.86,
90,NH투자증권,"9,240",200,-2.12%,"5,000","26,002","281,409",13.79,"1,202,430",6.05,9.12,
91,두산퓨얼셀,"45,650",650,+1.44%,100,"25,333","55,494",4.95,"3,466,674",69.59,N/A,
92,키움증권,"114,000","2,000",-1.72%,"5,000","25,215","22,119",24.57,"113,469",7.64,16.97,
93,GS리테일,"32,300",550,-1.67%,"1,000","24,871","77,000",16.66,"264,550",14.89,6.25,
94,동서,"24,900",600,-2.35%,500,"24,825","99,700",6.04,"207,415",18.04,10.53,
95,한화,"32,200","2,700",+9.15%,"5,000","24,137","74,959",19.43,"5,478,139",16.87,2.09,
96,CJ,"82,600",200,+0.24%,"5,000","24,100","29,177",18.93,"92,541",16.05,6.24,
97,대우조선해양,"22,450",250,-1.10%,"5,000","24,068","107,206",9.37,"228,848",-25.89,-1.22,
98,한샘,"102,000","3,100",+3.13%,"1,000","24,005","23,534",24.91,"116,959",45.90,7.32,
99,부광약품,"36,450","1,100",-2.93%,500,"23,633","64,838",5.19,"1,454,221",847.67,-2.00,
100,휠라홀딩스,"38,850",650,-1.65%,"1,000","23,602","60,752",45.13,"568,627",11.75,23.81,
101,일진머티리얼즈,"50,800",400,+0.79%,500,"23,424","46,111",9.19,"618,903",45.97,8.52,
102,KODEX 200선물인버스2X,"4,200",115,+2.82%,0,"23,314","555,100",1.26,"231,274,259",N/A,N/A,
103,한국항공우주,"23,400",200,+0.86%,"5,000","22,809","97,475",14.51,"619,680",14.60,15.84,
104,삼성엔지니어링,"11,400",150,-1.30%,"5,000","22,344","196,000",30.74,"863,963",8.64,24.62,
105,롯데쇼핑,"78,700",600,-0.76%,"5,000","22,263","28,289",11.78,"67,022",-1.64,-8.14,
106,대웅,"37,700","1,100",-2.84%,500,"21,920","58,142",7.01,"952,132",47.12,10.43,
107,한국가스공사,"23,650",500,-2.07%,"5,000","21,832","92,313",9.09,"246,023",-4.89,0.48,
108,KODEX 레버리지,"14,855",430,-2.81%,0,"21,807","146,800",1.66,"53,109,841",N/A,N/A,
109,메리츠증권,"3,225",45,-1.38%,"1,000","21,800","675,962",12.31,"2,785,428",4.39,15.06,
110,농심,"347,500","7,000",-1.97%,"5,000","21,137","6,083",19.61,"37,343",17.29,3.72,
111,BGF리테일,"122,000","1,500",-1.21%,"1,000","21,086","17,284",32.13,"22,821",16.28,26.46,
112,한올바이오파마,"40,200","1,200",+3.08%,500,"21,001","52,241",6.62,"2,935,584",97.81,14.90,
113,오뚜기,"581,000","11,000",-1.86%,"5,000","20,946","3,605",17.68,"6,411",16.60,7.79,
114,제일기획,"18,200",550,-2.93%,200,"20,938","115,041",29.87,"482,558",16.28,15.09,
115,HMM,"6,360",30,+0.47%,"5,000","20,780","326,726",7.58,"4,399,901",-8.15,-55.46,
116,LS ELECTRIC,"69,100","9,900",+16.72%,"5,000","20,730","30,000",16.31,"958,997",21.32,7.82,
117,씨에스윈드,"118,500","13,500",+12.86%,500,"20,484","17,286",8.89,"1,721,593",48.51,9.92,
118,현대차우,"83,900","1,900",-2.21%,"5,000","20,435","24,357",55.68,"138,910",12.09,N/A,
119,신세계,"207,500","6,000",-2.81%,"5,000","20,429","9,845",28.15,"142,897",-7.65,14.24,
120,영진약품,"11,150","1,160",+11.61%,500,"20,393","182,893",4.54,"132,876,650",857.69,4.43,
121,GS건설,"24,950",250,-0.99%,"5,000","19,984","80,098",28.89,"314,878",5.23,11.79,
122,현대해상,"21,950",550,-2.44%,500,"19,623","89,400",40.19,"389,251",6.45,6.23,
123,LS,"59,100","9,150",+18.32%,"5,000","19,030","32,200",11.07,"1,712,679",-43.75,0.80,
124,종근당,"174,000","6,500",-3.60%,"2,500","18,941","10,886",12.63,"205,025",24.96,11.94,
125,KODEX 단기채권,"102,465",0,0.00%,0,"18,188","17,750",3.38,"9,815",N/A,N/A,
126,팬오션,"3,375",60,-1.75%,"1,000","18,042","534,569",11.18,"1,644,557",12.23,5.49,
127,한솔케미칼,"156,000","2,000",-1.27%,"5,000","17,620","11,295",31.16,"129,939",16.95,20.88,
128,효성,"81,100","13,100",+19.26%,"5,000","17,089","21,071",5.77,"1,339,268",62.58,4.25,
129,포스코인터내셔널,"13,750",300,-2.14%,"5,000","16,964","123,375",16.34,"220,106",9.46,7.06,
130,현대로템,"15,500",250,-1.59%,"5,000","16,917","109,142",3.69,"1,688,209",-4.65,-37.93,
131,BNK금융지주,"5,140",60,-1.15%,"5,000","16,753","325,935",47.35,"1,108,111",3.21,7.07,
132,두산인프라코어,"7,960",50,-0.62%,"5,000","16,724","210,103",4.99,"27,912,801",12.08,11.59,
133,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.30,0,25.00,8.38,
134,OCI,"67,700","1,800",+2.73%,"5,000","16,146","23,849",16.36,"1,631,586",-1.99,-26.20,
135,일양약품,"84,500","3,400",-3.87%,"2,500","16,127","19,086",8.57,"713,388",173.87,5.20,
136,HDC현대산업개발,"23,950",750,-3.04%,"5,000","15,785","65,907",9.76,"2,032,800",3.39,20.30,
137,NHN,"80,200","4,700",+6.23%,500,"15,691","19,565",11.63,"681,137",61.08,0.78,
138,현대엘리베이,"40,800",600,-1.45%,"5,000","15,647","38,351",25.59,"225,933",28.20,5.22,
139,DB하이텍,"34,700","1,150",-3.21%,"5,000","15,406","44,399",31.53,"1,345,652",9.50,17.40,
140,유나이티드제약,"91,900","21,200",+29.99%,500,"14,929","16,245",12.53,"2,487,979",47.89,12.79,
141,F&F,"96,300","1,700",-1.73%,500,"14,830","15,400",10.09,"40,405",14.43,25.13,
142,LG생활건강우,"705,000","11,000",-1.54%,"5,000","14,803","2,100",87.61,"2,482",16.08,N/A,
143,한화에어로스페이스,"29,150",100,-0.34%,"5,000","14,759","50,630",17.24,"2,103,202",13.78,5.45,
144,만도,"30,700",700,-2.23%,"1,000","14,416","46,957",24.35,"607,723",-34.81,7.55,
145,SK디스커버리,"75,300","1,300",-1.70%,"5,000","14,336","19,038",9.83,"337,390",5.86,11.52,
146,한국테크놀로지그룹,"15,400",400,-2.53%,500,"14,325","93,020",6.76,"632,527",11.40,4.71,
147,메리츠화재,"12,600",150,-1.18%,500,"14,324","113,680",11.81,"148,149",4.07,12.80,
148,한화시스템,"12,950",0,0.00%,"5,000","14,275","110,230",2.26,"4,393,214",18.34,8.15,
149,아이에스동서,"45,900",150,+0.33%,500,"14,180","30,893",5.36,"113,683",24.27,6.10,
150,더블유게임즈,"76,300",100,+0.13%,500,"14,020","18,375",15.55,"258,576",13.29,18.93,
151,롯데정밀화학,"53,000","5,000",+10.42%,"5,000","13,674","25,800",24.23,"833,126",6.99,11.73,
152,한화생명,"1,560",25,-1.58%,"5,000","13,549","868,530",7.68,"3,468,407",8.04,0.51,
153,대웅제약,"116,000","2,000",-1.69%,"2,500","13,440","11,587",5.05,"107,800",-542.06,4.34,
154,KODEX 종합채권(AA-이상)액티브,"110,315",5,0.00%,0,"13,278","12,036",0.00,"3,163",N/A,N/A,
155,영원무역,"29,800",650,-2.13%,500,"13,205","44,311",23.19,"232,422",9.38,9.82,
156,현대백화점,"55,800",700,-1.24%,"5,000","13,059","23,402",18.79,"194,484",10.32,4.64,
157,KODEX 삼성그룹,"7,515",135,-1.76%,0,"12,828","170,700",0.03,"153,767",N/A,N/A,
158,한전KPS,"28,450",400,+1.43%,200,"12,802","45,000",14.61,"427,637",8.05,14.98,
159,파미셀,"21,300",250,-1.16%,500,"12,771","59,959",6.96,"1,647,117",208.82,8.78,
160,두산솔루스,"41,450",150,-0.36%,100,"12,679","30,590",8.15,"1,221,534",91.91,N/A,
161,지누스,"87,700",200,-0.23%,500,"12,635","14,407",18.82,"92,415",15.96,26.32,
162,KCC,"142,000","4,500",-3.07%,"5,000","12,619","8,886",13.60,"49,689",-599.16,-4.37,
163,메리츠금융지주,"9,300",320,-3.33%,500,"12,463","134,011",7.92,"84,036",3.08,15.26,
164,SK네트웍스,"5,020",80,-1.57%,"2,500","12,459","248,188",12.20,"609,025",-42.54,-5.85,
165,TIGER 단기통안채,"100,655",0,0.00%,0,"12,388","12,307",5.92,"5,255",N/A,N/A,
166,대우건설,"2,980",25,-0.83%,"5,000","12,386","415,623",11.17,"2,092,654",6.74,8.80,
167,녹십자홀딩스,"26,100",650,-2.43%,500,"12,274","47,028",7.30,"211,686",37.07,0.37,
168,KG동부제철,"12,100",300,-2.42%,"5,000","12,101","100,009",0.14,"53,995",12.62,-7.44,
169,현대미포조선,"30,250",650,-2.10%,"5,000","12,082","39,942",13.09,"190,372",20.22,2.31,
170,진원생명과학,"26,850","1,600",-5.62%,"1,000","11,983","44,631",7.74,"5,553,344",-91.64,-28.50,
171,KODEX 인버스,"5,480",75,+1.39%,0,"11,979","218,600",1.29,"44,712,696",N/A,N/A,
172,롯데관광개발,"16,500","2,400",-12.70%,500,"11,430","69,276",6.65,"2,288,820",-25.04,-4.77,
173,KODEX 200TR,"9,985",145,-1.43%,0,"11,428","114,450",20.19,"473,410",N/A,N/A,
174,후성,"12,100","1,350",+12.56%,500,"11,205","92,607",4.40,"43,290,953",-806.67,3.85,
175,현대위아,"40,650","1,300",-3.10%,"5,000","11,055","27,195",10.89,"306,416",17.54,1.80,
176,금호타이어,"3,840",5,-0.13%,"5,000","11,031","287,260",4.54,"890,222",-7.89,-3.30,
177,한국콜마,"46,150",150,-0.32%,500,"10,560","22,881",25.55,"208,382",47.97,6.39,
178,드림텍,"16,600",400,+2.47%,100,"10,308","62,095",21.60,"4,702,695",81.77,13.24,
179,KODEX 코스닥150 레버리지,"13,665",460,-3.26%,0,"10,180","74,500",0.89,"24,306,213",N/A,N/A,
180,이노션,"50,800","3,600",-6.62%,500,"10,160","20,000",28.93,"282,469",15.21,9.88,
181,코스맥스,"100,500","4,000",-3.83%,500,"10,100","10,050",22.63,"136,121",26.20,10.45,
182,KBSTAR 200,"31,210",450,-1.42%,0,"10,003","32,050",0.06,"192,412",N/A,N/A,
183,신세계인터내셔날,"140,000","2,500",-1.75%,"5,000","9,996","7,140",4.86,"34,955",16.14,12.98,
184,대상,"27,250",550,-1.98%,"1,000","9,442","34,648",18.26,"268,361",7.29,11.17,
185,SK디앤디,"49,350","6,200",+14.37%,"1,000","9,372","18,990",5.42,"1,286,805",10.15,12.66,
186,아시아나항공,"4,165",235,-5.34%,"5,000","9,298","223,235",6.17,"6,651,765",-0.84,-90.67,
187,현대오토에버,"44,000",700,-1.57%,500,"9,240","21,000",1.35,"75,400",16.06,11.71,
188,DGB금융지주,"5,340",10,-0.19%,"5,000","9,032","169,146",45.77,"527,680",2.91,7.31,
189,쿠쿠홈시스,"39,950",750,-1.84%,100,"8,964","22,437",4.29,"49,279",11.70,16.10,
190,코오롱인더,"33,150",150,-0.45%,"5,000","8,943","26,979",16.82,"176,130",5.70,1.58,
191,JB금융지주,"4,515",15,+0.33%,"5,000","8,894","196,983",39.01,"501,528",2.73,10.36,
192,TRUE 코스피 양매도 5% OTM ETN,"8,965",35,-0.39%,0,"8,866","98,900",0.00,"103,731",N/A,N/A,
193,영풍,"480,500","8,000",-1.64%,"5,000","8,851","1,842",4.37,"2,967",3.96,7.40,
194,일진다이아,"62,000",300,-0.48%,"1,000","8,806","14,203",2.56,"594,740",125.00,8.06,
195,다우기술,"19,550",450,-2.25%,500,"8,771","44,867",23.56,"194,076",4.61,14.62,
196,코리안리,"7,250",180,-2.42%,500,"8,727","120,369",27.12,"385,708",5.19,8.04,
197,롯데리츠,"5,070",10,-0.20%,500,"8,719","171,969",8.96,"233,182",58.95,1.64,
198,SK가스,"93,200",900,-0.96%,"5,000","8,603","9,230",8.71,"29,291",2.47,9.85,
199,CJ CGV,"24,100",200,+0.84%,500,"8,459","35,100",5.42,"737,742",-1.54,-57.60,
200,휴켐스,"20,500","1,950",+10.51%,"1,000","8,380","40,879",9.31,"1,692,575",13.46,10.82,
